bit error rate,received error rate
0.17,0
0.18,0.0124611
0.19,0.136513
0.20,0.134868
0.21,0.144737
0.22,0.154605
0.23,0.166118
0.24,0.167763
0.25,0.146382
0.26,0.126645
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0.0855263
0.16,0
0.17,0.0311526
0.18,0.0903427
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0.0509868
0.17,0.148026
0.18,0.106908
0.19,0.0953947
0.20,0.11215
0.21,0.101974
0.22,0.148026
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0.0197368
0.17,0.0498442
0.18,0.116776
0.19,0.123355
0.20,0.154605
0.21,0.0296053
0.22,0.193277
0.23,0.148026
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0.133224
0.19,0.0805921
0.20,0.126645
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0.134868
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.0953947
0.18,0.105263
0.19,0.100329
0.20,0.161184
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.136513
0.18,0.149671
0.19,0.0690789
0.20,0.101974
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.00986842
0.18,0.0707237
0.19,0.154605
0.20,0.143092
0.21,0.100329
0.22,0.141447
0.23,0.162829
0,0
0.1,0
